# r(a.u.)  R_2s  R_3s  R_4s  R_2p  R_3p
  7.85821077762619e+00  -1.73921612584622e-01   2.83061700887032e-01   1.73562896130304e-01   2.40479311962156e-01  -1.79080440113584e-01
  7.91278099135971e+00  -1.70470543964345e-01   2.86380529169365e-01   1.74121016562627e-01   2.37197042450859e-01  -1.83166842340049e-01
  7.96735120509322e+00  -1.67072162275871e-01   2.89603654956598e-01   1.74587180321640e-01   2.33937827763971e-01  -1.87194546718687e-01
  8.02192141882674e+00  -1.63726274850157e-01   2.92731473251251e-01   1.74962028643098e-01   2.30702242600077e-01  -1.91162975883076e-01
  8.07649163256025e+00  -1.60432659807283e-01   2.95764422596758e-01   1.75246242781001e-01   2.27490829376840e-01  -1.95071593490023e-01
  8.13106184629377e+00  -1.57191067686340e-01   2.98702983268300e-01   1.75440542449525e-01   2.24304099132408e-01  -1.98919903339226e-01
  8.18563206002728e+00  -1.54001223016636e-01   3.01547675503600e-01   1.75545684290952e-01   2.21142532413192e-01  -2.02707448495976e-01
  8.24020227376080e+00  -1.50862825831716e-01   3.04299057773466e-01   1.75562460369754e-01   2.18006580147757e-01  -2.06433810417507e-01
  8.29477248749432e+00  -1.47775553127694e-01   3.06957725091855e-01   1.75491696693024e-01   2.14896664506653e-01  -2.10098608083546e-01
  8.34934270122783e+00  -1.44739060267366e-01   3.09524307365186e-01   1.75334251757349e-01   2.11813179747982e-01  -2.13701497131618e-01
  8.40391291496135e+00  -1.41752982331559e-01   3.11999467780601e-01   1.75091015122227e-01   2.08756493048577e-01  -2.17242168997592e-01
  8.45848312869486e+00  -1.38816935419155e-01   3.14383901232855e-01   1.74762906010109e-01   2.05726945320659e-01  -2.20720350061966e-01
  8.51305334242838e+00  -1.35930517897224e-01   3.16678332789491e-01   1.74350871933076e-01   2.02724852013891e-01  -2.24135800802316e-01
  8.56762355616189e+00  -1.33093311602642e-01   3.18883516193921e-01   1.73855887346179e-01   1.99750503902742e-01  -2.27488314952355e-01
  8.62219376989541e+00  -1.30304882996603e-01   3.21000232406032e-01   1.73278952327436e-01   1.96804167859117e-01  -2.30777718667968e-01
  8.67676398362892e+00  -1.27564784273360e-01   3.23029288179908e-01   1.72621091284428e-01   1.93886087610231e-01  -2.34003869700618e-01
  8.73133419736244e+00  -1.24872554424542e-01   3.24971514678229e-01   1.71883351687456e-01   1.90996484481704e-01  -2.37166656578449e-01
  8.78590441109595e+00  -1.22227720260364e-01   3.26827766122924e-01   1.71066802829174e-01   1.88135558125890e-01  -2.40265997795422e-01
  8.84047462482947e+00  -1.19629797389006e-01   3.28598918481608e-01   1.70172534610598e-01   1.85303487235463e-01  -2.43301841008769e-01
  8.89504483856298e+00  -1.17078291155442e-01   3.30285868189339e-01   1.69201656353377e-01   1.82500430242313e-01  -2.46274162245056e-01
  8.94961505229650e+00  -1.14572697540948e-01   3.31889530905216e-01   1.68155295638194e-01   1.79726526001775e-01  -2.49182965115103e-01
  9.00418526603001e+00  -1.12112504024516e-01   3.33410840303320e-01   1.67034597169145e-01   1.76981894462301e-01  -2.52028280038003e-01
