# r(a.u.)  Vcoulomb(Ha)  Veff(Ha)
  2.36274569660604E+00  -4.23236407302084E-01  -4.23273375201742E-01
  2.37024615913495E+00  -4.21897108089804E-01  -4.21932679988637E-01
  2.37774662166385E+00  -4.20566258359454E-01  -4.20600487064768E-01
  2.38524708419276E+00  -4.19243778402282E-01  -4.19276714719622E-01
  2.39274754672167E+00  -4.17929589508977E-01  -4.17961282318203E-01
  2.40024800925058E+00  -4.16623613954054E-01  -4.16654110282517E-01
  2.40774847177949E+00  -4.15325774980529E-01  -4.15355120073454E-01
  2.41524893430839E+00  -4.14035996784882E-01  -4.14064234173077E-01
  2.42274939683730E+00  -4.12754204502297E-01  -4.12781376067272E-01
  2.43024985936621E+00  -4.11480324192177E-01  -4.11506470228788E-01
  2.43775032189512E+00  -4.10214282823926E-01  -4.10239442100631E-01
  2.44525078442403E+00  -4.08956008262992E-01  -4.08980218079809E-01
  2.45275124695293E+00  -4.07705429257168E-01  -4.07728725501432E-01
  2.46025170948184E+00  -4.06462475423139E-01  -4.06484892623128E-01
  2.46775217201075E+00  -4.05227077233282E-01  -4.05248648609807E-01
  2.47525263453966E+00  -4.03999166002697E-01  -4.04019923518726E-01
  2.48275309706857E+00  -4.02778673876480E-01  -4.02798648284874E-01
  2.49025355959748E+00  -4.01565533817223E-01  -4.01584754706654E-01
  2.49775402212638E+00  -4.00359679592741E-01  -4.00378175431863E-01
  2.50525448465529E+00  -3.99161045764017E-01  -3.99178843943957E-01
  2.51275494718420E+00  -3.97969567673363E-01  -3.97986694548595E-01
  2.52025540971311E+00  -3.96785181432796E-01  -3.96801662360460E-01
  2.52775587224202E+00  -3.95607823912616E-01  -3.95623683290346E-01
  2.53525633477092E+00  -3.94437432730192E-01  -3.94452694032497E-01
  2.54275679729983E+00  -3.93273946238943E-01  -3.93288632052211E-01
  2.55025725982874E+00  -3.92117303517510E-01  -3.92131435573681E-01
  2.55775772235765E+00  -3.90967444359131E-01  -3.90981043568087E-01
  2.56525818488656E+00  -3.89824309261184E-01  -3.89837395741913E-01
  2.57275864741546E+00  -3.88687839414932E-01  -3.88700432525499E-01
  2.58025910994437E+00  -3.87557976695433E-01  -3.87570095061822E-01
  2.58775957247328E+00  -3.86434663651631E-01  -3.86446325195485E-01
  2.59526003500219E+00  -3.85317843496618E-01  -3.85329065461928E-01
  2.60276049753110E+00  -3.84207460098066E-01  -3.84218259076843E-01
  2.61026096006000E+00  -3.83103457968820E-01  -3.83113849925800E-01
  2.61776142258891E+00  -3.82005782257659E-01  -3.82015782554055E-01
  2.62526188511782E+00  -3.80914378740207E-01  -3.80924002156577E-01
  2.63276234764673E+00  -3.79829193810008E-01  -3.79838454568239E-01
  2.64026281017564E+00  -3.78750174469744E-01  -3.78759086254215E-01
  2.64776327270454E+00  -3.77677268322615E-01  -3.77685844300545E-01
  2.65526373523345E+00  -3.76610423563850E-01  -3.76618676404881E-01
  2.66276419776236E+00  -3.75549588972371E-01  -3.75557530867407E-01
  2.67026466029127E+00  -3.74494713902599E-01  -3.74502356581926E-01
  2.67776512282018E+00  -3.73445748276390E-01  -3.73453103027114E-01
  2.68526558534908E+00  -3.72402642575111E-01  -3.72409720257930E-01
  2.69276604787799E+00  -3.71365347831847E-01  -3.71372158897192E-01
  2.70026651040690E+00  -3.70333815623744E-01  -3.70340370127300E-01
  2.70776697293581E+00  -3.69307998064465E-01  -3.69314305682111E-01
  2.71526743546472E+00  -3.68287847796786E-01  -3.68293917838966E-01
  2.72276789799362E+00  -3.67273317985308E-01  -3.67279159410852E-01
  2.73026836052253E+00  -3.66264362309284E-01  -3.66269983738717E-01
  2.73776882305144E+00  -3.65260934955577E-01  -3.65266344683909E-01
  2.74526928558035E+00  -3.64262990611721E-01  -3.64268196620761E-01
  2.75276974810926E+00  -3.63270484459098E-01  -3.63275494429303E-01
  2.76027021063816E+00  -3.62283372166236E-01  -3.62288193488102E-01
  2.76777067316707E+00  -3.61301609882199E-01  -3.61306249667231E-01
  2.77527113569598E+00  -3.60325154230100E-01  -3.60329619321358E-01
  2.78277159822489E+00  -3.59353962300712E-01  -3.59358259282961E-01
  2.79027206075380E+00  -3.58387991646180E-01  -3.58392126855655E-01
  2.79777252328271E+00  -3.57427200273835E-01  -3.57431179807638E-01
  2.80527298581161E+00  -3.56471546640115E-01  -3.56475376365252E-01
  2.81277344834052E+00  -3.55520989644573E-01  -3.55524675206651E-01
  2.82027391086943E+00  -3.54575488623983E-01  -3.54579035455581E-01
  2.82777437339834E+00  -3.53635003346547E-01  -3.53638416675262E-01
  2.83527483592725E+00  -3.52699494006182E-01  -3.52702778862379E-01
  2.84277529845615E+00  -3.51768921216910E-01  -3.51772082441172E-01
  2.85027576098506E+00  -3.50843246007326E-01  -3.50846288257626E-01
  2.85777622351397E+00  -3.49922429815160E-01  -3.49925357573760E-01
  2.86527668604288E+00  -3.49006434481921E-01  -3.49009252062011E-01
  2.87277714857179E+00  -3.48095222247627E-01  -3.48097933799708E-01
