# r(a.u.)  R_2s  R_3s  R_4s  R_2p  R_3p  R_3d
  7.20144402775173E-01   1.18804782007821E-01   5.52906292005678E-02   3.37165948333280E-02   8.43661694801660E-02   4.96009587083468E-02   2.80960329023075E-03
  7.27644865304081E-01   1.16053216873704E-01   5.38684014255413E-02   3.28216133077399E-02   8.56673173143787E-02   5.03564440535966E-02   2.88827401479160E-03
  7.35145327832990E-01   1.13283766011842E-01   5.24372146567495E-02   3.19210523658580E-02   8.69726023751526E-02   5.11139637150213E-02   2.96826424170302E-03
  7.42645790361898E-01   1.10497128628595E-01   5.09974330025579E-02   3.10151418493396E-02   8.82819327776178E-02   5.18734572469334E-02   3.04958037819150E-03
  7.50146252890806E-01   1.07693985773769E-01   4.95494116595636E-02   3.01041060744061E-02   8.95952172821520E-02   5.26348645828372E-02   3.13222872477535E-03
  7.57646715419714E-01   1.04875000950160E-01   4.80934972094268E-02   2.91881640153727E-02   9.09123652806102E-02   5.33981260279300E-02   3.21621547547625E-03
  7.65147177948622E-01   1.02040820698660E-01   4.66300279037150E-02   2.82675294807461E-02   9.22332867836121E-02   5.41631822522236E-02   3.30154671804396E-03
  7.72647640477530E-01   9.91920751599647E-02   4.51593339372669E-02   2.73424112822061E-02   9.35578924088257E-02   5.49299742842496E-02   3.38822843419409E-03
  7.80148103006438E-01   9.63293786138729E-02   4.36817377105615E-02   2.64130133967708E-02   9.48860933701841E-02   5.56984435053115E-02   3.47626649985906E-03
  7.87648565535346E-01   9.34533299971149E-02   4.21975540815574E-02   2.54795351224351E-02   9.62178014679801E-02   5.64685316442501E-02   3.56566668545211E-03
  7.95149028064254E-01   9.05645134006216E-02   4.07070906074472E-02   2.45421712275595E-02   9.75529290797835E-02   5.72401807726906E-02   3.65643465614449E-03
  8.02649490593162E-01   8.76634985470994E-02   3.92106477767565E-02   2.36011120942715E-02   9.88913891521282E-02   5.80133333007383E-02   3.74857597215562E-03
  8.10149953122070E-01   8.47508412497423E-02   3.77085192321924E-02   2.26565438561374E-02   1.00233095192922E-01   5.87879319730971E-02   3.84209608905620E-03
  8.17650415650978E-01   8.18270838528760E-02   3.62009919846367E-02   2.17086485303429E-02   1.01577961264531E-01   5.95639198655800E-02   3.93700035808407E-03
  8.25150878179886E-01   7.88927556552978E-02   3.46883466186572E-02   2.07576041446195E-02   1.02925901977494E-01   6.03412403819873E-02   4.03329402647281E-03
  8.32651340708794E-01   7.59483733170394E-02   3.31708574898958E-02   1.98035848591369E-02   1.04276832484825E-01   6.11198372513265E-02   4.13098223779269E-03
  8.40151803237702E-01   7.29944412502543E-02   3.16487929146784E-02   1.88467610835747E-02   1.05630668476871E-01   6.18996545253512E-02   4.23007003230405E-03
  8.47652265766610E-01   7.00314519948959E-02   3.01224153521761E-02   1.78872995895804E-02   1.06987326176668E-01   6.26806365763958E-02   4.33056234732263E-03
