# r(a.u.)  Vcoulomb(Ha)  Veff(Ha)
  2.36274569660604e+00  -4.23236407302084e-01  -4.23273375201742e-01
  2.37024615913495e+00  -4.21897108089804e-01  -4.21932679988637e-01
  2.37774662166385e+00  -4.20566258359454e-01  -4.20600487064768e-01
  2.38524708419276e+00  -4.19243778402282e-01  -4.19276714719622e-01
  2.39274754672167e+00  -4.17929589508977e-01  -4.17961282318203e-01
  2.40024800925058e+00  -4.16623613954054e-01  -4.16654110282517e-01
  2.40774847177949e+00  -4.15325774980529e-01  -4.15355120073454e-01
  2.41524893430839e+00  -4.14035996784882e-01  -4.14064234173077e-01
  2.42274939683730e+00  -4.12754204502297e-01  -4.12781376067272e-01
  2.43024985936621e+00  -4.11480324192177e-01  -4.11506470228788e-01
  2.43775032189512e+00  -4.10214282823926e-01  -4.10239442100631e-01
  2.44525078442403e+00  -4.08956008262992e-01  -4.08980218079809e-01
  2.45275124695293e+00  -4.07705429257168e-01  -4.07728725501432e-01
  2.46025170948184e+00  -4.06462475423139e-01  -4.06484892623128e-01
  2.46775217201075e+00  -4.05227077233282e-01  -4.05248648609807e-01
  2.47525263453966e+00  -4.03999166002697e-01  -4.04019923518726e-01
  2.48275309706857e+00  -4.02778673876480e-01  -4.02798648284874e-01
  2.49025355959748e+00  -4.01565533817223e-01  -4.01584754706654e-01
  2.49775402212638e+00  -4.00359679592741e-01  -4.00378175431863e-01
  2.50525448465529e+00  -3.99161045764017e-01  -3.99178843943957e-01
  2.51275494718420e+00  -3.97969567673363e-01  -3.97986694548595e-01
  2.52025540971311e+00  -3.96785181432796e-01  -3.96801662360460e-01
  2.52775587224202e+00  -3.95607823912616e-01  -3.95623683290346e-01
  2.53525633477092e+00  -3.94437432730192e-01  -3.94452694032497e-01
  2.54275679729983e+00  -3.93273946238943e-01  -3.93288632052211e-01
  2.55025725982874e+00  -3.92117303517510e-01  -3.92131435573681e-01
  2.55775772235765e+00  -3.90967444359131e-01  -3.90981043568087e-01
  2.56525818488656e+00  -3.89824309261184e-01  -3.89837395741913e-01
  2.57275864741546e+00  -3.88687839414932e-01  -3.88700432525499e-01
  2.58025910994437e+00  -3.87557976695433e-01  -3.87570095061822e-01
  2.58775957247328e+00  -3.86434663651631e-01  -3.86446325195485e-01
  2.59526003500219e+00  -3.85317843496618e-01  -3.85329065461928e-01
  2.60276049753110e+00  -3.84207460098066e-01  -3.84218259076843e-01
  2.61026096006000e+00  -3.83103457968820e-01  -3.83113849925800e-01
  2.61776142258891e+00  -3.82005782257659e-01  -3.82015782554055e-01
  2.62526188511782e+00  -3.80914378740207e-01  -3.80924002156577e-01
  2.63276234764673e+00  -3.79829193810008e-01  -3.79838454568239e-01
  2.64026281017564e+00  -3.78750174469744e-01  -3.78759086254215e-01
  2.64776327270454e+00  -3.77677268322615e-01  -3.77685844300545e-01
  2.65526373523345e+00  -3.76610423563850e-01  -3.76618676404881e-01
  2.66276419776236e+00  -3.75549588972371e-01  -3.75557530867407e-01
  2.67026466029127e+00  -3.74494713902599e-01  -3.74502356581926e-01
  2.67776512282018e+00  -3.73445748276390e-01  -3.73453103027114e-01
  2.68526558534908e+00  -3.72402642575111e-01  -3.72409720257930e-01
  2.69276604787799e+00  -3.71365347831847e-01  -3.71372158897192e-01
  2.70026651040690e+00  -3.70333815623744e-01  -3.70340370127300e-01
  2.70776697293581e+00  -3.69307998064465e-01  -3.69314305682111e-01
  2.71526743546472e+00  -3.68287847796786e-01  -3.68293917838966e-01
  2.72276789799362e+00  -3.67273317985308e-01  -3.67279159410852e-01
  2.73026836052253e+00  -3.66264362309284e-01  -3.66269983738717e-01
  2.73776882305144e+00  -3.65260934955577e-01  -3.65266344683909e-01
  2.74526928558035e+00  -3.64262990611721e-01  -3.64268196620761e-01
  2.75276974810926e+00  -3.63270484459098e-01  -3.63275494429303e-01
  2.76027021063816e+00  -3.62283372166236e-01  -3.62288193488102e-01
  2.76777067316707e+00  -3.61301609882199e-01  -3.61306249667231e-01
  2.77527113569598e+00  -3.60325154230100e-01  -3.60329619321358e-01
  2.78277159822489e+00  -3.59353962300712e-01  -3.59358259282961e-01
  2.79027206075380e+00  -3.58387991646180e-01  -3.58392126855655e-01
  2.79777252328271e+00  -3.57427200273835e-01  -3.57431179807638e-01
  2.80527298581161e+00  -3.56471546640115e-01  -3.56475376365252e-01
  2.81277344834052e+00  -3.55520989644573e-01  -3.55524675206651e-01
  2.82027391086943e+00  -3.54575488623983e-01  -3.54579035455581e-01
  2.82777437339834e+00  -3.53635003346547e-01  -3.53638416675262e-01
  2.83527483592725e+00  -3.52699494006182e-01  -3.52702778862379e-01
  2.84277529845615e+00  -3.51768921216910e-01  -3.51772082441172e-01
  2.85027576098506e+00  -3.50843246007326e-01  -3.50846288257626e-01
  2.85777622351397e+00  -3.49922429815160e-01  -3.49925357573760e-01
  2.86527668604288e+00  -3.49006434481921e-01  -3.49009252062011e-01
  2.87277714857179e+00  -3.48095222247627e-01  -3.48097933799708e-01
