r	psi_1	psi_2	psi_3	psi_4	psi_5	psi_6	psi_7
6.5458333333333325	1.9989333550068284e-05	-0.017781027333425427	0.011203809093745723	0.012612219541950548	0.021145527577895125	-0.004156132521398572	-0.009421376511866426
6.5875	1.877572657266428e-05	-0.017549206078744464	0.011485660742231209	0.012802282150588913	0.02097015226380164	-0.004424614514022571	-0.009679231604276447
6.6291666666666655	1.7635374095912508e-05	-0.017318981741989682	0.011764227534882904	0.012986821291875674	0.020794585294403183	-0.004691968544369713	-0.009933331025022413
6.6708333333333325	1.6563885445200884e-05	-0.01709039075350208	0.012039468768578155	0.01316580036439101	0.02061887631634179	-0.004958137287993825	-0.010183599122825234
6.7125	1.5557130830518647e-05	-0.016863467470236232	0.012311346016832382	0.013339185806698408	0.020443073698539125	-0.005223064840130731	-0.010429962658680335
6.7541666666666655	1.4611226014852903e-05	-0.01663824423663383	0.0125798230830894	0.013506947044986724	0.02026722454933145	-0.005486696704947766	-0.01067235079367538
6.7958333333333325	1.3722517870790417e-05	-0.016414751444309452	0.012844865954326748	0.013669056440674324	0.02009137473374512	-0.005748979784404132	-0.010910695076008897
6.8375	1.288757077485073e-05	-0.0161930175905536	0.013106442754995676	0.013825489238008007	0.019915568890892982	-0.006009862366743228	-0.011144929427241351
6.8791666666666655	1.2103153791868518e-05	-0.015973069335659083	0.01336452370131378	0.01397622351168626	0.019739850451473487	-0.00626929411463727	-0.011374990127807892
6.9208333333333325	1.1366228604385904e-05	-0.015754931559076826	0.01361908105592722	0.014121240114536013	0.019564261655355093	-0.0065272260530038605	-0.011600815801822349
6.9625	1.0673938144517282e-05	-0.015538627414409268	0.013870089082958411	0.014260522625270815	0.019388843569227984	-0.006783610556513492	-0.011822347401201251
7.0041666666666655	1.0023595888117875e-05	-0.015324178383248952	0.01411752400345406	0.014394057296357078	0.019213636104307107	-0.007038401336806744	-0.01203952818913542
7.0458333333333325	9.412675773328979e-06	-0.015111604327872884	0.014361363951247165	0.014521833002013524	0.019038678034072182	-0.007291553429438538	-0.012252303722936515
