# r(a.u.)  Vcoulomb(Ha)  Veff(Ha)
  1.81719811732606E+01  -5.50297730591678E-02  -5.50297730591679E-02
  1.82265513869941E+01  -5.48650141635444E-02  -5.48650141635444E-02
  1.82811216007276E+01  -5.47012388977380E-02  -5.47012388977381E-02
  1.83356918144611E+01  -5.45384384793877E-02  -5.45384384793877E-02
  1.83902620281946E+01  -5.43766042303732E-02  -5.43766042303732E-02
  1.84448322419282E+01  -5.42157275752736E-02  -5.42157275752736E-02
  1.84994024556617E+01  -5.40558000398523E-02  -5.40558000398523E-02
  1.85539726693952E+01  -5.38968132495690E-02  -5.38968132495690E-02
  1.86085428831287E+01  -5.37387589281181E-02  -5.37387589281181E-02
  1.86631130968622E+01  -5.35816288959921E-02  -5.35816288959921E-02
  1.87176833105957E+01  -5.34254150690710E-02  -5.34254150690710E-02
  1.87722535243292E+01  -5.32701094572358E-02  -5.32701094572358E-02
  1.88268237380628E+01  -5.31157041630060E-02  -5.31157041630060E-02
  1.88813939517963E+01  -5.29621913802008E-02  -5.29621913802008E-02
  1.89359641655298E+01  -5.28095633926239E-02  -5.28095633926239E-02
  1.89905343792633E+01  -5.26578125727704E-02  -5.26578125727704E-02
  1.90451045929968E+01  -5.25069313805562E-02  -5.25069313805562E-02
  1.90996748067303E+01  -5.23569123620692E-02  -5.23569123620691E-02
  1.91542450204638E+01  -5.22077481483415E-02  -5.22077481483415E-02
  1.92088152341974E+01  -5.20594314541432E-02  -5.20594314541432E-02
  1.92633854479309E+01  -5.19119550767963E-02  -5.19119550767963E-02
  1.93179556616644E+01  -5.17653118950084E-02  -5.17653118950084E-02
  1.93725258753979E+01  -5.16194948677264E-02  -5.16194948677264E-02
  1.94270960891314E+01  -5.14744970330102E-02  -5.14744970330102E-02
  1.94816663028649E+01  -5.13303115069239E-02  -5.13303115069239E-02
  1.95362365165985E+01  -5.11869314824468E-02  -5.11869314824468E-02
  1.95908067303320E+01  -5.10443502284020E-02  -5.10443502284020E-02
  1.96453769440655E+01  -5.09025610884032E-02  -5.09025610884031E-02
  1.96999471577990E+01  -5.07615574798185E-02  -5.07615574798184E-02
  1.97545173715325E+01  -5.06213328927520E-02  -5.06213328927520E-02
  1.98090875852660E+01  -5.04818808890420E-02  -5.04818808890420E-02
  1.98636577989995E+01  -5.03431951012752E-02  -5.03431951012752E-02
  1.99182280127331E+01  -5.02052692318179E-02  -5.02052692318179E-02
  1.99727982264666E+01  -5.00680970518627E-02  -5.00680970518627E-02
  2.00273684402001E+01  -4.99316724004908E-02  -4.99316724004908E-02
  2.00819386539336E+01  -4.97959891837496E-02  -4.97959891837495E-02
  2.01365088676671E+01  -4.96610413737450E-02  -4.96610413737450E-02
  2.01910790814006E+01  -4.95268230077494E-02  -4.95268230077494E-02
  2.02456492951342E+01  -4.93933281873227E-02  -4.93933281873227E-02
  2.03002195088677E+01  -4.92605510774489E-02  -4.92605510774489E-02
  2.03547897226012E+01  -4.91284859056853E-02  -4.91284859056853E-02
  2.04093599363347E+01  -4.89971269613264E-02  -4.89971269613264E-02
