# r(a.u.)  R_2s  R_3s  R_4s  R_2p  R_3p
  7.85821077762619E+00  -1.73921612584622E-01   2.83061700887032E-01   1.73562896130304E-01   2.40479311962156E-01  -1.79080440113584E-01
  7.91278099135971E+00  -1.70470543964345E-01   2.86380529169365E-01   1.74121016562627E-01   2.37197042450859E-01  -1.83166842340049E-01
  7.96735120509322E+00  -1.67072162275871E-01   2.89603654956598E-01   1.74587180321640E-01   2.33937827763971E-01  -1.87194546718687E-01
  8.02192141882674E+00  -1.63726274850157E-01   2.92731473251251E-01   1.74962028643098E-01   2.30702242600077E-01  -1.91162975883076E-01
  8.07649163256025E+00  -1.60432659807283E-01   2.95764422596758E-01   1.75246242781001E-01   2.27490829376840E-01  -1.95071593490023E-01
  8.13106184629377E+00  -1.57191067686340E-01   2.98702983268300E-01   1.75440542449525E-01   2.24304099132408E-01  -1.98919903339226E-01
  8.18563206002728E+00  -1.54001223016636E-01   3.01547675503600E-01   1.75545684290952E-01   2.21142532413192E-01  -2.02707448495976E-01
  8.24020227376080E+00  -1.50862825831716E-01   3.04299057773466E-01   1.75562460369754E-01   2.18006580147757E-01  -2.06433810417507E-01
  8.29477248749432E+00  -1.47775553127694E-01   3.06957725091855E-01   1.75491696693024E-01   2.14896664506653E-01  -2.10098608083546E-01
  8.34934270122783E+00  -1.44739060267366E-01   3.09524307365186E-01   1.75334251757349E-01   2.11813179747982E-01  -2.13701497131618E-01
  8.40391291496135E+00  -1.41752982331559E-01   3.11999467780601E-01   1.75091015122227E-01   2.08756493048577E-01  -2.17242168997592E-01
  8.45848312869486E+00  -1.38816935419155E-01   3.14383901232855E-01   1.74762906010109E-01   2.05726945320659E-01  -2.20720350061966E-01
  8.51305334242838E+00  -1.35930517897224E-01   3.16678332789491E-01   1.74350871933076E-01   2.02724852013891E-01  -2.24135800802316E-01
  8.56762355616189E+00  -1.33093311602642E-01   3.18883516193921E-01   1.73855887346179E-01   1.99750503902742E-01  -2.27488314952355E-01
  8.62219376989541E+00  -1.30304882996603E-01   3.21000232406032E-01   1.73278952327436E-01   1.96804167859117E-01  -2.30777718667968E-01
  8.67676398362892E+00  -1.27564784273360E-01   3.23029288179908E-01   1.72621091284428E-01   1.93886087610231E-01  -2.34003869700618E-01
  8.73133419736244E+00  -1.24872554424542E-01   3.24971514678229E-01   1.71883351687456E-01   1.90996484481704E-01  -2.37166656578449E-01
  8.78590441109595E+00  -1.22227720260364E-01   3.26827766122924E-01   1.71066802829174E-01   1.88135558125890E-01  -2.40265997795422E-01
  8.84047462482947E+00  -1.19629797389006E-01   3.28598918481608E-01   1.70172534610598E-01   1.85303487235463E-01  -2.43301841008769E-01
  8.89504483856298E+00  -1.17078291155442E-01   3.30285868189339E-01   1.69201656353377E-01   1.82500430242313E-01  -2.46274162245056E-01
  8.94961505229650E+00  -1.14572697540948E-01   3.31889530905216E-01   1.68155295638194E-01   1.79726526001775E-01  -2.49182965115103E-01
  9.00418526603001E+00  -1.12112504024516E-01   3.33410840303320E-01   1.67034597169145E-01   1.76981894462301E-01  -2.52028280038003E-01
